dest_ip,dest_nt_domain,dest_port
2a0d:5600:9:e::a02f,ca-mtr-wg-003.relays.mullvad.net,51820
188.241.176.194,ca-mtr-wg-004.relays.mullvad.net,51820
2a0d:5600:9:16::f001,ca-mtr-wg-004.relays.mullvad.net,51820
62.93.167.130,ca-mtr-wg-201.relays.mullvad.net,51820
2a02:6ea0:a03:2::f001,ca-mtr-wg-201.relays.mullvad.net,51820
62.93.167.160,ca-mtr-wg-202.relays.mullvad.net,51820
2a02:6ea0:a03::f001,ca-mtr-wg-202.relays.mullvad.net,51820
178.249.214.2,ca-tor-wg-001.relays.mullvad.net,51820
2a02:6ea0:de08:1::f001,ca-tor-wg-001.relays.mullvad.net,51820
178.249.214.15,ca-tor-wg-002.relays.mullvad.net,51820
2a02:6ea0:de08:2::a29f,ca-tor-wg-002.relays.mullvad.net,51820
198.44.140.130,ca-tor-wg-101.relays.mullvad.net,51820
2607:9000:6000:18::a01f,ca-tor-wg-101.relays.mullvad.net,51820
198.54.132.98,ca-tor-wg-102.relays.mullvad.net,51820
2607:9000:6000:14::a02f,ca-tor-wg-102.relays.mullvad.net,51820
198.54.132.226,ca-tor-wg-103.relays.mullvad.net,51820
2607:9000:6000:17::a03f,ca-tor-wg-103.relays.mullvad.net,51820
198.54.132.130,ca-tor-wg-104.relays.mullvad.net,51820
2607:9000:6000:15::a04f,ca-tor-wg-104.relays.mullvad.net,51820
198.44.140.162,ca-tor-wg-105.relays.mullvad.net,51820
2607:9000:6000:19::a05f,ca-tor-wg-105.relays.mullvad.net,51820
198.54.132.162,ca-tor-wg-106.relays.mullvad.net,51820
2607:9000:6000:16::a26f,ca-tor-wg-106.relays.mullvad.net,51820
198.44.140.194,ca-tor-wg-107.relays.mullvad.net,51820
2607:9000:6000:20::a07f,ca-tor-wg-107.relays.mullvad.net,51820
23.234.84.2,ca-tor-wg-201.relays.mullvad.net,51820
