geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3068445,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",633,,,,Europe/Prague,1
3068476,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,204,,,,Europe/Prague,1
3068517,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",644,"Bezirk Lundenburg","Pavlov u Dolních Věstonic",,Europe/Prague,1
3068547,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",802,,,,Europe/Prague,1
3068557,de,EU,Europa,CZ,Tschechien,31,"Südböhmische Region",314,,,,Europe/Prague,1
3068564,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",712,,,,Europe/Prague,1
3068571,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",714,,,,Europe/Prague,1
3068582,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",532,,Pardubice,,Europe/Prague,1
3068606,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",424,,,,Europe/Prague,1
3068623,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",802,,,,Europe/Prague,1
3068647,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",633,,,,Europe/Prague,1
3068690,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",724,,,,Europe/Prague,1
3068706,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",646,,,,Europe/Prague,1
3068718,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,209,,,,Europe/Prague,1
3068750,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",722,,,,Europe/Prague,1
3068751,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",722,,,,Europe/Prague,1
3068772,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",534,,,,Europe/Prague,1
3068785,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",522,,,,Europe/Prague,1
3068799,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",806,,Ostrava,,Europe/Prague,1
3068805,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3068830,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",643,,,,Europe/Prague,1
3068837,de,EU,Europa,CZ,Tschechien,71,"Olmützer Region",715,,,,Europe/Prague,1
3068844,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",533,,,,Europe/Prague,1
3068846,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",721,,,,Europe/Prague,1
3068873,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",803,,,,Europe/Prague,1
3068893,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",531,,,,Europe/Prague,1
3068927,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",805,,Troppau,,Europe/Prague,1
3068933,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",532,,,,Europe/Prague,1
3068946,de,EU,Europa,CZ,Tschechien,53,"Pardubitzer Region",533,,,,Europe/Prague,1
