fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
homoglyph,xn--labanquepstal-8gb4n.fr,,,,
homoglyph,xn--labanquepstal-8gb4q.fr,,,,
homoglyph,xn--labanquepstal-8gb9l.fr,,,,
homoglyph,xn--labanquepstal-8gb9o.fr,,,,
homoglyph,xn--labanquepstal-8gb9r.fr,,,,
homoglyph,xn--labanquepstal-gib4h.fr,,,,
homoglyph,xn--labanquepstal-gib4k.fr,,,,
homoglyph,xn--labanquepstal-gib4n.fr,,,,
homoglyph,xn--labanquepstal-gib9i.fr,,,,
homoglyph,xn--labanquepstal-gib9l.fr,,,,
homoglyph,xn--labanquepstal-nhb4k.fr,,,,
homoglyph,xn--labanquepstal-nhb4n.fr,,,,
homoglyph,xn--labanquepstal-nhb4q.fr,,,,
