tld,dest_nt_domain,metadata_link
cpa,*.cpa,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cr,*.cr,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
credit,*.credit,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
creditcard,*.creditcard,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
creditunion,*.creditunion,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cricket,*.cricket,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
crown,*.crown,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
crs,*.crs,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cruise,*.cruise,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cruises,*.cruises,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cu,*.cu,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cuisinella,*.cuisinella,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cv,*.cv,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cw,*.cw,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cx,*.cx,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cy,*.cy,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cymru,*.cymru,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cyou,*.cyou,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
cz,*.cz,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dad,*.dad,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dance,*.dance,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
data,*.data,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
date,*.date,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dating,*.dating,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
datsun,*.datsun,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
day,*.day,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dclk,*.dclk,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dds,*.dds,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
de,*.de,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
deal,*.deal,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dealer,*.dealer,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
deals,*.deals,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
degree,*.degree,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
delivery,*.delivery,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dell,*.dell,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
deloitte,*.deloitte,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
delta,*.delta,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
democrat,*.democrat,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dental,*.dental,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dentist,*.dentist,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
desi,*.desi,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
design,*.design,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dev,*.dev,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dhl,*.dhl,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
diamonds,*.diamonds,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
diet,*.diet,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
digital,*.digital,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
direct,*.direct,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
directory,*.directory,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
discount,*.discount,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
discover,*.discover,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dish,*.dish,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
diy,*.diy,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dj,*.dj,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dk,*.dk,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dm,*.dm,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dnp,*.dnp,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
do,*.do,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
docs,*.docs,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
doctor,*.doctor,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dog,*.dog,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
domains,*.domains,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dot,*.dot,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
download,*.download,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
drive,*.drive,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dtv,*.dtv,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dubai,*.dubai,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dupont,*.dupont,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
durban,*.durban,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dvag,*.dvag,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dvr,*.dvr,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
dz,*.dz,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
